,Date,global_id,AdmArea,District,Longitude_WGS84,Latitude_WGS84,Location,Results,geoData,Rank
3336,06.09.2018,904345371,Центральный административный округ,Басманный район,37.639150,55.756862,"Старосадский переулок, дом 4/5",Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.,"{type=Point, coordinates=[37.63915, 55.756862]}",0
3337,12.09.2018,904345372,Центральный административный округ,район Арбат,37.599822,55.753681,"Никитский бульвар, дом 7",Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.,"{type=Point, coordinates=[37.599822, 55.753681]}",0
3338,12.09.2018,904345373,Центральный административный округ,Таганский район,37.674499,55.738460,"Нижегородская улица, дом 2",Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.,"{type=Point, coordinates=[37.674499, 55.73846]}",0
3339,17.09.2018,904345374,Центральный административный округ,район Хамовники,37.568614,55.726092,"Усачёва улица, дом 19, корпус 3",Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.,"{type=Point, coordinates=[37.568614, 55.726092]}",0
3340,18.09.2018,904345375,Центральный административный округ,Красносельский район,37.642312,55.768461,"Мясницкая улица, дом 43, строение 3",Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.,"{type=Point, coordinates=[37.642312, 55.768461]}",0
3341,13.09.2018,904345377,Северный административный округ,Дмитровский район,37.530058,55.894959,"Клязьминская улица, дом 32",Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.,"{type=Point, coordinates=[37.530058, 55.894959]}",0
3342,18.09.2018,904345378,Центральный административный округ,район Хамовники,37.577175,55.743416,"4-й Ростовский переулок, дом 2, строение 1",Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.,"{type=Point, coordinates=[37.577175, 55.743416]}",0
3343,18.09.2018,904345379,Центральный административный округ,район Замоскворечье,37.632727,55.728124,"Стремянный переулок, дом 10",Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.,"{type=Point, coordinates=[37.632727, 55.728124]}",0
3344,18.09.2018,904345380,Западный административный округ,район Очаково-Матвеевское,37.440200,55.686629,"Очаковское шоссе, дом 34",Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.,"{type=Point, coordinates=[37.4402, 55.686629]}",0
3345,20.09.2018,904345382,Новомосковский административный округ,поселение Воскресенское,37.514778,55.525481,"Чечёрский проезд, дом 122, корпус 1",Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.,"{type=Point, coordinates=[37.514778, 55.525481]}",0
