"ID";"Date";"global_id";"AdmArea";"District";"Longitude_WGS84";"Latitude_WGS84";"Location";"Results";"geoData";
"189";"19.04.2016";"272437711";"Восточный административный округ";"район Перово";"37.794999";"55.762753";"Новогиреевская улица, дом 3А";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.79499899989, 55.762753000011]}";
"190";"19.04.2016";"272437712";"Восточный административный округ";"район Ивановское";"37.831362";"55.754355";"улица Молостовых, дом 14, корпус 1";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.831362000395, 55.75435500017]}";
"191";"19.04.2016";"272437713";"Восточный административный округ";"район Восточный";"37.869882";"55.819287";"Главная улица, дом 20";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.869881999628, 55.81928699983]}";
"192";"19.04.2016";"272437715";"Юго-Восточный административный округ";"Рязанский район";"37.769495";"55.727237";"Михайлова улица, дом 25";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.769494999828, 55.727237000121]}";
"193";"20.04.2016";"272437716";"Юго-Восточный административный округ";"район Люблино";"37.738710";"55.667178";"Люблинская улица, дом 76";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.738710000045, 55.667178000159]}";
"194";"20.04.2016";"272437718";"Юго-Восточный административный округ";"район Печатники";"37.707628";"55.658078";"Батюнинская улица, дом 2, корпус 2";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.70762800016, 55.658077999852]}";
"195";"20.04.2016";"272437719";"Юго-Восточный административный округ";"Южнопортовый район";"37.682628";"55.708673";"Южнопортовая улица, дом 12";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.682627999889, 55.708672999787]}";
"196";"20.04.2016";"272437720";"Юго-Восточный административный округ";"Рязанский район";"37.776197";"55.71518";"Федора Полетаева улица, дом 3";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.776196999583, 55.715179999911]}";
"197";"26.04.2016";"272437721";"Юго-Восточный административный округ";"район Некрасовка";"37.927518";"55.681818";"1-я Вольская улица, дом 24, корпус 4";"По отдельным веществам в атмосферном воздухе выявлены повышенные максимальные разовые концентрации загрязняющих веществ.";"{type=Point, coordinates=[37.927517999886, 55.681818000172]}";
"198";"06.04.2016";"272437722";"Новомосковский административный округ";"поселение ""Мосрентген""";"37.468192";"55.620301";"посёлок Завода Мосрентген, дом 33";"По отдельным веществам в атмосферном воздухе выявлены повышенные максимальные разовые концентрации загрязняющих веществ.";"{type=Point, coordinates=[37.468192000138, 55.620301000023]}";
"203";"07.04.2016";"272437723";"Новомосковский административный округ";"поселение Десеновское";"37.368577";"55.514432";"Кедровая улица, дом 12";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимально разовых нормативов.";"{type=Point, coordinates=[37.368576999917, 55.514432000236]}";
